iter	RMSE
174	5.295490284
175	5.294581646
176	5.293955623
177	5.292818592
178	5.292163557
179	5.291332156
180	5.290221037
181	5.28938122
182	5.288573529
183	5.287641773
184	5.286663767
185	5.286001646
186	5.285104217
187	5.284336017
188	5.283566482
189	5.282734672
190	5.282124853
191	5.280953802
192	5.279964347
193	5.279253951
194	5.278265492
195	5.277647558
196	5.276945084
197	5.276329843
198	5.275355562
199	5.274726949
200	5.274112692
201	5.273301299
202	5.272687599
203	5.272060229
204	5.271661059
205	5.270786905
206	5.270150602
207	5.269620602
208	5.269062961
209	5.268262595
210	5.267502505
211	5.266627378
212	5.266167709
213	5.265431087
214	5.265266955
215	5.264458641
216	5.263815293
217	5.263574561
218	5.262641469
219	5.262152989
220	5.261692476
221	5.260770049
222	5.260002381
223	5.259186126
224	5.258683263
225	5.258111172
226	5.257347023
227	5.256737956
228	5.256241042
229	5.255567585
230	5.254850533
231	5.254061517
232	5.253496537
233	5.252976443
234	5.252196545
235	5.251744461
236	5.251382458
237	5.250628046
238	5.250098252
239	5.249363115
240	5.248834216
241	5.248163969
242	5.247412154
243	5.24690254
244	5.2462938
245	5.245832154
246	5.24537683
247	5.244817829
248	5.24417943
249	5.243709444
250	5.243025261
251	5.242685408
252	5.242168952
253	5.241421398
254	5.240880065
255	5.240494035
256	5.239935607
257	5.239604404
258	5.238829325
259	5.238378285
260	5.238156901
261	5.237708367
262	5.237311944
263	5.236807493
264	5.23614711
265	5.235704597
266	5.235127672
267	5.234572311
268	5.234118038
269	5.233458467
270	5.233011471
271	5.232473117
272	5.231847847
273	5.23142586
274	5.230784935
275	5.230415089
276	5.229866106
277	5.229435559
278	5.229113324
279	5.228710955
280	5.228197175
281	5.22773974
282	5.22734686
283	5.226704031
284	5.226483616
285	5.225841138
286	5.225356878
287	5.224959112
288	5.224539873
289	5.223919295
290	5.223421104
291	5.223071148
292	5.22266568
293	5.22244447
294	5.22196623
295	5.221442052
296	5.220956635
297	5.22061785
298	5.220234896
299	5.21976842
300	5.219401128
301	5.218859514
302	5.218355813
303	5.217919687
304	5.217310841
305	5.21686398
306	5.216370475
307	5.215997535
308	5.215694088
309	5.215169257
310	5.214734227
311	5.214272195
312	5.213918787
313	5.21364088
314	5.213005077
315	5.212484151
316	5.212149482
317	5.211887802
318	5.211480359
319	5.211149202
320	5.210636618
321	5.210315923
322	5.209963682
323	5.209546204
324	5.209197042
325	5.208864555
326	5.208404371
327	5.208144753
328	5.207721835
329	5.207314853
330	5.206942854
331	5.206581134
332	5.205861313
333	5.205603953
334	5.205344068
335	5.205089702
336	5.204654509
337	5.204247916
338	5.204027235
339	5.203624174
340	5.203226817
341	5.202738015
342	5.202446842
343	5.202253355
344	5.202104258
345	5.20174823
346	5.201197805
347	5.200840809
348	5.200543887
349	5.200134196
350	5.199926454
351	5.199668557
352	5.199250816
353	5.198771072
354	5.198457722
355	5.198102666
356	5.197918625
357	5.197654933
358	5.197393945
359	5.196791796
360	5.196571942
361	5.196426075
362	5.196108914
363	5.19586568
364	5.195399836
365	5.195067173
366	5.194637081
367	5.194259332
368	5.193970591
369	5.193603067
370	5.193212078
371	5.192932342
372	5.192457089
373	5.191995122
374	5.19169775
375	5.191342132
376	5.191198019
377	5.190916058
378	5.190469503
379	5.190173817
380	5.189850321
381	5.18966466
382	5.18907304
383	5.188692509
384	5.188467558
385	5.188078858
386	5.187794239
387	5.187468579
388	5.187102055
389	5.186865632
390	5.186622506
391	5.186148235
392	5.185858124
393	5.185635979
394	5.185431775
395	5.185079155
396	5.184731161
397	5.184355622
398	5.183873226
399	5.183502471
400	5.1831467
401	5.18286328
402	5.182673309
403	5.182239792
404	5.181962345
405	5.181630355
406	5.181278561
407	5.181045212
408	5.180814212
409	5.180521719
410	5.180302013
411	5.180081143
412	5.179811966
413	5.17936571
414	5.179139339
415	5.178853965
416	5.178502181
417	5.178391438
418	5.177926754
419	5.177549825
420	5.177220135
421	5.176992559
422	5.176707086
423	5.176485184
424	5.176095248
425	5.175862895
426	5.175610972
427	5.175444426
428	5.175168495
429	5.174922097
430	5.174639649
431	5.174393949
432	5.174132274
433	5.174007548
434	5.173795615
435	5.173423896
436	5.173199493
437	5.172971352
438	5.172758179
439	5.172361721
440	5.172068315
441	5.171902451
442	5.171628223
443	5.171398053
444	5.171187032
445	5.171050129
446	5.170767203
447	5.170436852
448	5.170082994
449	5.16976461
450	5.169498226
451	5.169209524
452	5.169030491
453	5.168921322
454	5.168659562
455	5.168346188
456	5.168102549
457	5.167767451
458	5.167587386
459	5.167360596
460	5.166988173
461	5.166781381
462	5.166549406
463	5.16637905
464	5.16612029
465	5.165928501
466	5.165689348
467	5.165484711
468	5.165266266
469	5.164829844
470	5.164571427
471	5.164380635
472	5.164316982
473	5.163987314
474	5.163856458
475	5.16372705
476	5.163550125
477	5.163192798
478	5.162897475
479	5.162715441
480	5.162542146
481	5.162298643
482	5.162076433
483	5.161924134
484	5.161653923
485	5.161409316
486	5.161166608
487	5.16084509
488	5.160497815
489	5.16032705
490	5.160089371
491	5.159855294
492	5.159735905
493	5.159544229
494	5.15934439
495	5.159148436
496	5.158997691
497	5.15886395
498	5.158414821
499	5.158297676
